Latitude,Longitude,Elevation(m),Terrain_Ruggedness_Index,Urbanization_Level(%),Vegetation_Density(%),Soil_Stability,Proximity_Civilian_Infrastructure(km),Area_Size_Target(km2),Enemy_Concentration(units_per_km2),Target_Type,Visibility_Level,Fortification_Level,Urgency_of_Mission,Bombing_Type
28.255328343783198,40.071283837993754,109.6364388116768,27.217296807950817,89.9163695968766,66.49808811218915,Moderate,7.073310371622126,10.406943928931312,41.16205154530626,Infrastructure,98.82506886566838,Low,Medium,Precision-Guided Munitions
30.951827261599764,42.606642663696455,281.95327036492404,55.23028993938456,50.28545162077664,44.20642560712208,Moderate,12.658099392851431,5.28014372496059,65.24745644144375,Personnel,21.967261390439457,Low,Low,Drone-Based Tactical Strikes
31.26887377396422,42.432064493961846,98.15841689261299,2.011831414432624,14.362367698877259,87.14374909343235,Unstable,38.47583530269049,4.340404706013674,67.32406637145878,Bunkers,13.589280482305082,Low,Low,Bunker-Busters
31.078713969846742,42.908134028363996,75.65025916218364,16.135472073455514,37.602286309945775,77.84554570002778,Stable,11.960001343777407,11.43123385391909,67.82956252152988,Armored_Vehicles,107.7671187632441,High,Low,Drone-Based Tactical Strikes
28.66685002485375,39.143301723609305,204.20715652362733,13.200587690569618,74.07599663763858,193.96873856711065,Unstable,8.710166323359598,3.6027133086188488,139.38398668961685,Armored_Vehicles,12.05033814914017,Medium,Medium,Precision-Guided Munitions
27.971913391419466,42.72785004434617,32.50825872101893,23.484370382779748,21.306337081533464,42.73267167195038,Moderate,4.052847629008495,2.6949466379253395,54.95597537414817,Armored_Vehicles,53.89327520645753,High,Low,Drone-Based Tactical Strikes
30.92218336704338,40.54877848335535,114.62595719302239,42.29009013297315,60.55942687582197,4.6109016591123115,Stable,15.665580045270485,3.5428392205329584,104.68056686504391,Personnel,46.794685034098045,High,Low,Drone-Based Tactical Strikes
28.852715729484707,41.49199025991249,124.00737986081552,76.01138082273975,77.2598021349232,50.58079263000037,Stable,20.220745381693234,11.846389615116468,41.87919304464368,Armored_Vehicles,83.67893363403229,High,Medium,Precision-Guided Munitions
29.156582068814174,41.458143448305506,218.12821779253917,93.50794341367886,33.60017043180161,90.00504941445348,Unstable,22.22466448002578,8.35827783316494,63.2440301567145,Bunkers,35.900754617845735,Low,High,Bunker-Busters
29.125525572727824,39.71323914674572,83.66427821638028,79.61288983870931,67.7193495244987,15.012817798303608,Stable,16.906505167495432,7.061505996722032,124.49646412248643,Bunkers,45.51389856220118,Low,Medium,Bunker-Busters
